date,home_team,away_team,home_score,away_score,tournament
6/14/2018,Russia,Saudi Arabia,5,0,FIFA World Cup
6/15/2018,Egypt,Uruguay,0,1,FIFA World Cup
6/15/2018,Morocco,Iran,0,1,FIFA World Cup
6/15/2018,Portugal,Spain,3,3,FIFA World Cup
6/16/2018,France,Australia,2,1,FIFA World Cup
6/16/2018,Argentina,Iceland,1,1,FIFA World Cup
6/16/2018,Peru,Denmark,0,1,FIFA World Cup
6/16/2018,Croatia,Nigeria,2,0,FIFA World Cup
6/17/2018,Costa Rica,Serbia,0,1,FIFA World Cup
6/17/2018,Germany,Mexico,0,1,FIFA World Cup
6/17/2018,Brazil,Switzerland,1,1,FIFA World Cup
6/18/2018,Sweden,South Korea,1,0,FIFA World Cup
6/18/2018,Belgium,Panama,3,0,FIFA World Cup
6/18/2018,Tunisia,England,1,2,FIFA World Cup
6/19/2018,Colombia,Japan,1,2,FIFA World Cup
6/19/2018,Poland,Senegal,1,2,FIFA World Cup
6/19/2018,Russia,Egypt,3,1,FIFA World Cup
6/20/2018,Portugal,Morocco,1,0,FIFA World Cup
6/20/2018,Uruguay,Saudi Arabia,1,0,FIFA World Cup
6/20/2018,Iran,Spain,0,1,FIFA World Cup
6/21/2018,Denmark,Australia,1,1,FIFA World Cup
6/21/2018,France,Peru,1,0,FIFA World Cup
6/21/2018,Argentina,Croatia,0,3,FIFA World Cup
6/22/2018,Brazil,Costa Rica,2,0,FIFA World Cup
6/22/2018,Nigeria,Iceland,2,0,FIFA World Cup
6/22/2018,Serbia,Switzerland,1,2,FIFA World Cup
6/23/2018,Belgium,Tunisia,5,2,FIFA World Cup
6/23/2018,South Korea,Mexico,1,2,FIFA World Cup
6/23/2018,Germany,Sweden,2,1,FIFA World Cup
6/24/2018,England,Panama,6,1,FIFA World Cup
6/24/2018,Japan,Senegal,2,2,FIFA World Cup
6/24/2018,Poland,Colombia,0,3,FIFA World Cup
6/25/2018,Russia,Uruguay,0,3,FIFA World Cup
6/25/2018,Saudi Arabia,Egypt,2,1,FIFA World Cup
6/25/2018,Spain,Morocco,2,2,FIFA World Cup
6/25/2018,Iran,Portugal,1,1,FIFA World Cup
6/26/2018,Australia,Peru,0,2,FIFA World Cup
6/26/2018,Denmark,France,0,0,FIFA World Cup
6/26/2018,Nigeria,Argentina,1,2,FIFA World Cup
6/26/2018,Iceland,Croatia,1,2,FIFA World Cup
6/27/2018,South Korea,Germany,2,0,FIFA World Cup
6/27/2018,Mexico,Sweden,0,3,FIFA World Cup
6/27/2018,Serbia,Brazil,0,2,FIFA World Cup
6/27/2018,Switzerland,Costa Rica,2,2,FIFA World Cup
6/28/2018,Japan,Poland,0,1,FIFA World Cup
6/28/2018,Senegal,Colombia,0,1,FIFA World Cup
6/28/2018,Panama,Tunisia,1,2,FIFA World Cup
6/28/2018,England,Belgium,0,1,FIFA World Cup
6/30/2018,France,Argentina,4,3,FIFA World Cup
6/30/2018,Uruguay,Portugal,2,1,FIFA World Cup
7/1/2018,Russia,Spain,1,1,FIFA World Cup
7/1/2018,Croatia,Denmark,1,1,FIFA World Cup
7/2/2018,Brazil,Mexico,2,0,FIFA World Cup
7/2/2018,Belgium,Japan,3,2,FIFA World Cup
7/3/2018,Sweden,Switzerland,1,0,FIFA World Cup
7/3/2018,Colombia,England,1,1,FIFA World Cup
7/5/2018,Malaysia,Fiji,1,0,Friendly
7/6/2018,Uruguay,France,0,2,FIFA World Cup
7/6/2018,Brazil,Belgium,1,2,FIFA World Cup
7/7/2018,Sweden,England,0,2,FIFA World Cup
7/7/2018,Russia,Croatia,2,2,FIFA World Cup
7/10/2018,France,Belgium,1,0,FIFA World Cup
7/11/2018,Croatia,England,2,1,FIFA World Cup
7/14/2018,Belgium,England,2,0,FIFA World Cup
7/15/2018,France,Croatia,4,2,FIFA World Cup
7/22/2018,Liberia,Sierra Leone,0,0,Friendly
8/4/2018,Belize,Barbados,1,0,Friendly
8/4/2018,Palestine,Iraq,0,3,Friendly
8/15/2018,Guatemala,Cuba,3,0,Friendly
8/18/2018,Andorra,United Arab Emirates,0,0,Friendly
8/18/2018,Grenada,Jamaica,1,5,Friendly
8/18/2018,Guatemala,Cuba,1,0,Friendly
8/20/2018,Barbados,Jamaica,2,2,Friendly
8/26/2018,Barbados,Cuba,0,0,Friendly
8/29/2018,Bangladesh,Sri Lanka,0,1,Friendly
8/29/2018,Barbados,Cuba,0,2,Friendly
8/29/2018,Macau,Solomon Islands,1,4,Friendly
9/1/2018,Timor-Leste,Brunei,3,1,AFF Championship qualification
9/2/2018,Ethiopia,Burundi,1,1,Friendly
9/2/2018,Mongolia,Macau,4,1,EAFF Championship
9/4/2018,Macau,Guam,2,0,EAFF Championship
9/4/2018,Nepal,Pakistan,1,2,SAFF Cup
9/4/2018,Bangladesh,Bhutan,2,0,SAFF Cup
9/5/2018,Fiji,Solomon Islands,1,1,Friendly
9/5/2018,Slovakia,Denmark,3,0,Friendly
9/5/2018,India,Sri Lanka,2,0,SAFF Cup
9/6/2018,Germany,France,0,0,UEFA Nations League
9/6/2018,Czech Republic,Ukraine,1,2,UEFA Nations League
9/6/2018,Wales,Republic of Ireland,4,1,UEFA Nations League
9/6/2018,Norway,Cyprus,2,0,UEFA Nations League
9/6/2018,Slovenia,Bulgaria,1,2,UEFA Nations League
9/6/2018,Kazakhstan,Georgia,0,2,UEFA Nations League
9/6/2018,Latvia,Andorra,0,0,UEFA Nations League
9/6/2018,Armenia,Liechtenstein,2,1,UEFA Nations League
9/6/2018,Gibraltar,North Macedonia,0,2,UEFA Nations League
9/6/2018,Austria,Sweden,2,0,Friendly
9/6/2018,Bahrain,Philippines,1,1,Friendly
9/6/2018,Jordan,Lebanon,0,1,Friendly
9/6/2018,Kyrgyzstan,Palestine,1,1,Friendly
9/6/2018,Netherlands,Peru,2,1,Friendly
9/6/2018,Portugal,Croatia,1,1,Friendly
9/6/2018,Trinidad and Tobago,United Arab Emirates,2,0,Friendly
9/6/2018,Uzbekistan,Syria,1,1,Friendly
9/6/2018,Mongolia,Guam,1,1,EAFF Championship
9/6/2018,Nepal,Bhutan,4,0,SAFF Cup
9/6/2018,Bangladesh,Pakistan,1,0,SAFF Cup
9/6/2018,Dominica,Suriname,0,0,CONCACAF Nations League qualification
9/6/2018,Guyana,Barbados,3,0,CONCACAF Nations League qualification
9/7/2018,Italy,Poland,1,1,UEFA Nations League
9/7/2018,Turkey,Russia,1,2,UEFA Nations League
9/7/2018,Albania,Israel,1,0,UEFA Nations League
9/7/2018,Lithuania,Serbia,0,1,UEFA Nations League
9/7/2018,Romania,Montenegro,0,0,UEFA Nations League
9/7/2018,Faroe Islands,Malta,3,1,UEFA Nations League
9/7/2018,Azerbaijan,Kosovo,0,0,UEFA Nations League
9/7/2018,Argentina,Guatemala,3,0,Friendly
9/7/2018,Taiwan,Malaysia,2,0,Friendly
9/7/2018,Ecuador,Jamaica,2,0,Friendly
9/7/2018,South Korea,Costa Rica,2,0,Friendly
9/7/2018,Mexico,Uruguay,1,4,Friendly
9/7/2018,Qatar,China PR,1,0,Friendly
9/7/2018,Scotland,Belgium,0,4,Friendly
9/7/2018,Singapore,Mauritius,1,1,Friendly
9/7/2018,United States,Brazil,0,2,Friendly
9/7/2018,Venezuela,Colombia,1,2,Friendly
9/7/2018,Maldives,Sri Lanka,0,0,SAFF Cup
9/7/2018,Antigua and Barbuda,Saint Lucia,0,3,CONCACAF Nations League qualification
9/8/2018,Switzerland,Iceland,6,0,UEFA Nations League
9/8/2018,England,Spain,1,2,UEFA Nations League
9/8/2018,Northern Ireland,Bosnia and Herzegovina,1,2,UEFA Nations League
9/8/2018,Finland,Hungary,1,0,UEFA Nations League
9/8/2018,Estonia,Greece,0,1,UEFA Nations League
9/8/2018,Belarus,San Marino,5,0,UEFA Nations League
9/8/2018,Luxembourg,Moldova,4,0,UEFA Nations League
9/8/2018,Brunei,Timor-Leste,1,0,AFF Championship qualification
9/8/2018,Equatorial Guinea,Sudan,1,0,African Cup of Nations qualification
9/8/2018,Comoros,Cameroon,1,1,African Cup of Nations qualification
9/8/2018,Gabon,Burundi,1,1,African Cup of Nations qualification
9/8/2018,Gambia,Algeria,1,1,African Cup of Nations qualification
9/8/2018,South Africa,Libya,0,0,African Cup of Nations qualification
9/8/2018,Mauritania,Burkina Faso,2,0,African Cup of Nations qualification
9/8/2018,Egypt,Niger,6,0,African Cup of Nations qualification
9/8/2018,Namibia,Zambia,1,1,African Cup of Nations qualification
9/8/2018,Uganda,Tanzania,0,0,African Cup of Nations qualification
9/8/2018,Pakistan,Bhutan,3,0,SAFF Cup
9/8/2018,Bangladesh,Nepal,0,2,SAFF Cup
9/8/2018,Saint Vincent and the Grenadines,Nicaragua,0,2,CONCACAF Nations League qualification
9/8/2018,Montserrat,El Salvador,1,2,CONCACAF Nations League qualification
9/9/2018,France,Netherlands,2,1,UEFA Nations League
9/9/2018,Ukraine,Slovakia,1,0,UEFA Nations League
9/9/2018,Denmark,Wales,2,0,UEFA Nations League
9/9/2018,Bulgaria,Norway,1,0,UEFA Nations League
9/9/2018,Cyprus,Slovenia,2,1,UEFA Nations League
9/9/2018,Georgia,Latvia,1,0,UEFA Nations League
9/9/2018,North Macedonia,Armenia,2,0,UEFA Nations League
9/9/2018,Liechtenstein,Gibraltar,2,0,UEFA Nations League
9/9/2018,Germany,Peru,2,1,Friendly
9/9/2018,Lebanon,Oman,0,0,Friendly
9/9/2018,Congo,Zimbabwe,1,1,African Cup of Nations qualification
9/9/2018,Rwanda,Ivory Coast,1,2,African Cup of Nations qualification
9/9/2018,India,Maldives,2,0,SAFF Cup
9/9/2018,United States Virgin Islands,Canada,0,8,CONCACAF Nations League qualification
9/9/2018,Aruba,Bermuda,3,1,CONCACAF Nations League qualification
9/9/2018,Jamaica,Cayman Islands,4,0,CONCACAF Nations League qualification
9/9/2018,Saint Kitts and Nevis,Puerto Rico,1,0,CONCACAF Nations League qualification
9/10/2018,Portugal,Italy,1,0,UEFA Nations League
9/10/2018,Sweden,Turkey,2,3,UEFA Nations League
9/10/2018,Scotland,Albania,2,0,UEFA Nations League
9/10/2018,Montenegro,Lithuania,2,0,UEFA Nations League
9/10/2018,Serbia,Romania,2,2,UEFA Nations League
9/10/2018,Andorra,Kazakhstan,1,1,UEFA Nations League
9/10/2018,Kosovo,Faroe Islands,2,0,UEFA Nations League
9/10/2018,Malta,Azerbaijan,1,1,UEFA Nations League
9/10/2018,Bahrain,China PR,0,0,Friendly
9/10/2018,Cambodia,Malaysia,1,3,Friendly
9/10/2018,Kuwait,Iraq,2,2,Friendly
9/10/2018,Kyrgyzstan,Syria,2,1,Friendly
9/10/2018,Russia,Czech Republic,5,1,Friendly
9/10/2018,Saudi Arabia,Bolivia,2,2,Friendly
9/10/2018,Curaçao,Grenada,10,0,CONCACAF Nations League qualification
9/11/2018,Iceland,Belgium,0,3,UEFA Nations League
9/11/2018,Spain,Croatia,6,0,UEFA Nations League
9/11/2018,Bosnia and Herzegovina,Austria,1,0,UEFA Nations League
9/11/2018,Hungary,Greece,2,1,UEFA Nations League
9/11/2018,Finland,Estonia,1,0,UEFA Nations League
9/11/2018,San Marino,Luxembourg,0,3,UEFA Nations League
9/11/2018,Moldova,Belarus,0,0,UEFA Nations League
9/11/2018,Colombia,Argentina,0,0,Friendly
9/11/2018,Ecuador,Guatemala,2,0,Friendly
9/11/2018,England,Switzerland,1,0,Friendly
9/11/2018,Gabon,Zambia,0,1,Friendly
9/11/2018,Indonesia,Mauritius,1,0,Friendly
9/11/2018,Japan,Costa Rica,3,0,Kirin Challenge Cup
9/11/2018,Jordan,Oman,0,0,Friendly
9/11/2018,Kenya,Malawi,1,0,Friendly
9/11/2018,South Korea,Chile,0,0,Friendly
9/11/2018,Laos,United Arab Emirates,0,3,Friendly
9/11/2018,Liberia,Nigeria,1,2,Friendly
9/11/2018,Northern Ireland,Israel,3,0,Friendly
9/11/2018,Panama,Venezuela,0,2,Friendly
9/11/2018,Poland,Republic of Ireland,1,1,Friendly
9/11/2018,Qatar,Palestine,3,0,Friendly
9/11/2018,Singapore,Fiji,2,0,Friendly
9/11/2018,United States,Mexico,1,0,Friendly
9/11/2018,Uzbekistan,Iran,0,1,Friendly
9/12/2018,Brazil,El Salvador,5,0,Friendly
9/12/2018,India,Pakistan,3,1,SAFF Cup
9/12/2018,Nepal,Maldives,0,3,SAFF Cup
9/15/2018,Maldives,India,2,1,SAFF Cup
9/30/2018,Botswana,Namibia,1,0,Friendly
9/30/2018,Saint Vincent and the Grenadines,Barbados,1,1,Friendly
10/10/2018,Albania,Jordan,0,0,Friendly
10/10/2018,Indonesia,Myanmar,3,0,Friendly
10/10/2018,Italy,Ukraine,1,1,Friendly
10/10/2018,Ethiopia,Kenya,0,0,African Cup of Nations qualification
10/10/2018,Zambia,Guinea-Bissau,2,1,African Cup of Nations qualification
10/11/2018,Poland,Portugal,2,3,UEFA Nations League
10/11/2018,Russia,Sweden,0,0,UEFA Nations League
10/11/2018,Israel,Scotland,2,1,UEFA Nations League
10/11/2018,Montenegro,Serbia,0,2,UEFA Nations League
10/11/2018,Lithuania,Romania,1,2,UEFA Nations League
10/11/2018,Faroe Islands,Azerbaijan,0,3,UEFA Nations League
10/11/2018,Kosovo,Malta,3,1,UEFA Nations League
10/11/2018,Argentina,Iraq,4,0,Friendly
10/11/2018,Bahrain,Syria,0,1,Friendly
10/11/2018,France,Iceland,2,2,Friendly
10/11/2018,Honduras,United Arab Emirates,1,1,Friendly
10/11/2018,Hong Kong,Thailand,0,1,Friendly
10/11/2018,Kuwait,Lebanon,1,0,Friendly
10/11/2018,Mexico,Costa Rica,3,2,Friendly
10/11/2018,Turkey,Bosnia and Herzegovina,0,0,Friendly
10/11/2018,United States,Colombia,2,4,Friendly
10/11/2018,Wales,Spain,1,4,Friendly
10/11/2018,Congo,Liberia,3,1,African Cup of Nations qualification
10/12/2018,Belgium,Switzerland,2,1,UEFA Nations League
10/12/2018,Croatia,England,0,0,UEFA Nations League
10/12/2018,Austria,Northern Ireland,1,0,UEFA Nations League
10/12/2018,Estonia,Finland,0,1,UEFA Nations League
10/12/2018,Greece,Hungary,1,0,UEFA Nations League
10/12/2018,Belarus,Luxembourg,1,0,UEFA Nations League
10/12/2018,Moldova,San Marino,2,0,UEFA Nations League
10/12/2018,Cambodia,Timor-Leste,2,2,Friendly
10/12/2018,Japan,Panama,3,0,Kirin Challenge Cup
10/12/2018,South Korea,Uruguay,2,1,Friendly
10/12/2018,Peru,Chile,3,0,Friendly
10/12/2018,Qatar,Ecuador,4,3,Friendly
10/12/2018,Saudi Arabia,Brazil,0,2,Friendly
10/12/2018,Singapore,Mongolia,2,0,Friendly
10/12/2018,Sri Lanka,Malaysia,1,4,Friendly
10/12/2018,Cameroon,Malawi,1,0,African Cup of Nations qualification
10/12/2018,Gabon,South Sudan,3,0,African Cup of Nations qualification
10/12/2018,Togo,Gambia,1,1,African Cup of Nations qualification
10/12/2018,Ivory Coast,Central African Republic,4,0,African Cup of Nations qualification
10/12/2018,Angola,Mauritania,4,1,African Cup of Nations qualification
10/12/2018,Egypt,Eswatini,4,1,African Cup of Nations qualification
10/12/2018,Cape Verde,Tanzania,3,0,African Cup of Nations qualification
10/12/2018,United States Virgin Islands,Curaçao,0,5,CONCACAF Nations League qualification
10/12/2018,Dominican Republic,Cayman Islands,3,0,CONCACAF Nations League qualification
10/12/2018,Grenada,Cuba,0,2,CONCACAF Nations League qualification
10/13/2018,Netherlands,Germany,3,0,UEFA Nations League
10/13/2018,Slovakia,Czech Republic,1,2,UEFA Nations League
10/13/2018,Republic of Ireland,Denmark,0,0,UEFA Nations League
10/13/2018,Norway,Slovenia,1,0,UEFA Nations League
10/13/2018,Bulgaria,Cyprus,2,1,UEFA Nations League
10/13/2018,Latvia,Kazakhstan,1,1,UEFA Nations League
10/13/2018,Georgia,Andorra,3,0,UEFA Nations League
10/13/2018,Armenia,Gibraltar,0,1,UEFA Nations League
10/13/2018,North Macedonia,Liechtenstein,4,1,UEFA Nations League
10/13/2018,China PR,India,0,0,Friendly
10/13/2018,Myanmar,Bolivia,0,3,Friendly
10/13/2018,Oman,Philippines,1,1,Friendly
10/13/2018,Uzbekistan,North Korea,2,0,Friendly
10/13/2018,Equatorial Guinea,Madagascar,0,1,African Cup of Nations qualification
10/13/2018,Nigeria,Libya,4,0,African Cup of Nations qualification
10/13/2018,Suriname,British Virgin Islands,5,0,CONCACAF Nations League qualification
10/13/2018,El Salvador,Barbados,3,0,CONCACAF Nations League qualification
10/14/2018,Poland,Italy,0,1,UEFA Nations League
10/14/2018,Russia,Turkey,2,0,UEFA Nations League
10/14/2018,Israel,Albania,2,0,UEFA Nations League
10/14/2018,Romania,Serbia,0,0,UEFA Nations League
10/14/2018,Lithuania,Montenegro,1,4,UEFA Nations League
10/14/2018,Faroe Islands,Kosovo,1,1,UEFA Nations League
10/14/2018,Azerbaijan,Malta,1,1,UEFA Nations League
10/14/2018,Scotland,Portugal,1,3,Friendly
10/14/2018,Thailand,Trinidad and Tobago,1,0,Friendly
10/14/2018,Guinea-Bissau,Zambia,2,1,African Cup of Nations qualification
10/14/2018,Montserrat,Belize,1,0,CONCACAF Nations League qualification
10/15/2018,Iceland,Switzerland,1,2,UEFA Nations League
10/15/2018,Spain,England,2,3,UEFA Nations League
10/15/2018,Bosnia and Herzegovina,Northern Ireland,2,0,UEFA Nations League
10/15/2018,Estonia,Hungary,3,3,UEFA Nations League
10/15/2018,Finland,Greece,2,0,UEFA Nations League
10/15/2018,Luxembourg,San Marino,3,0,UEFA Nations League
10/15/2018,Belarus,Moldova,0,0,UEFA Nations League
10/15/2018,Croatia,Jordan,2,1,Friendly
10/15/2018,Kuwait,Australia,0,4,Friendly
10/15/2018,Saudi Arabia,Iraq,1,1,Friendly
10/16/2018,France,Germany,2,1,UEFA Nations League
10/16/2018,Ukraine,Czech Republic,1,0,UEFA Nations League
10/16/2018,Republic of Ireland,Wales,0,1,UEFA Nations League
10/16/2018,Norway,Bulgaria,1,0,UEFA Nations League
10/16/2018,Slovenia,Cyprus,1,1,UEFA Nations League
10/16/2018,Kazakhstan,Andorra,4,0,UEFA Nations League
10/16/2018,Latvia,Georgia,0,3,UEFA Nations League
10/16/2018,Armenia,North Macedonia,4,0,UEFA Nations League
10/16/2018,Gibraltar,Liechtenstein,2,1,UEFA Nations League
10/16/2018,Bahrain,Myanmar,4,1,Friendly
10/16/2018,Belgium,Netherlands,1,1,Friendly
10/16/2018,Cambodia,Singapore,1,2,Friendly
10/16/2018,China PR,Syria,2,0,Friendly
10/16/2018,Colombia,Costa Rica,3,1,Friendly
10/16/2018,Denmark,Austria,2,0,Friendly
10/16/2018,Indonesia,Hong Kong,1,1,Friendly
10/16/2018,Iran,Bolivia,2,1,Friendly
10/16/2018,Japan,Uruguay,4,3,Kirin Challenge Cup
10/16/2018,South Korea,Panama,2,2,Friendly
10/16/2018,Laos,Mongolia,1,4,Friendly
10/16/2018,Malaysia,Kyrgyzstan,0,1,Friendly
10/16/2018,Mexico,Chile,0,1,Friendly
10/16/2018,Oman,Ecuador,0,0,Friendly
10/16/2018,Sweden,Slovakia,1,1,Friendly
10/16/2018,United Arab Emirates,Venezuela,0,2,Friendly
10/16/2018,United States,Peru,1,1,Friendly
10/16/2018,Uzbekistan,Qatar,2,0,Friendly
10/16/2018,Madagascar,Equatorial Guinea,1,0,African Cup of Nations qualification
10/16/2018,Malawi,Cameroon,0,0,African Cup of Nations qualification
10/16/2018,Burundi,Mali,1,1,African Cup of Nations qualification
10/16/2018,Benin,Algeria,1,0,African Cup of Nations qualification
10/16/2018,Seychelles,South Africa,0,0,African Cup of Nations qualification
10/16/2018,Liberia,Congo,2,1,African Cup of Nations qualification
10/16/2018,Central African Republic,Ivory Coast,0,0,African Cup of Nations qualification
10/16/2018,Mauritania,Angola,1,0,African Cup of Nations qualification
10/16/2018,Eswatini,Egypt,0,2,African Cup of Nations qualification
10/16/2018,Tanzania,Cape Verde,2,0,African Cup of Nations qualification
10/16/2018,Argentina,Brazil,0,1,Superclásico de las Américas
10/16/2018,Canada,Dominica,5,0,CONCACAF Nations League qualification
10/16/2018,Saint Lucia,Haiti,1,2,CONCACAF Nations League qualification
11/3/2018,Malaysia,Maldives,3,0,Friendly
11/8/2018,Cambodia,Malaysia,0,1,AFF Championship
11/8/2018,Laos,Vietnam,0,3,AFF Championship
11/9/2018,Singapore,Indonesia,1,0,AFF Championship
11/9/2018,Thailand,Timor-Leste,7,0,AFF Championship
11/11/2018,North Korea,Mongolia,4,1,EAFF Championship
11/11/2018,Taiwan,Hong Kong,1,2,EAFF Championship
11/12/2018,Myanmar,Cambodia,4,1,AFF Championship
11/12/2018,Malaysia,Laos,3,1,AFF Championship
11/13/2018,Indonesia,Timor-Leste,3,1,AFF Championship
11/13/2018,Philippines,Singapore,1,0,AFF Championship
11/13/2018,Taiwan,Mongolia,2,1,EAFF Championship
11/13/2018,Hong Kong,North Korea,0,0,EAFF Championship
11/14/2018,Switzerland,Qatar,0,1,Friendly
11/14/2018,Vanuatu,New Caledonia,0,1,Friendly
11/15/2018,Belgium,Iceland,2,0,UEFA Nations League
11/15/2018,Croatia,Spain,3,2,UEFA Nations League
11/15/2018,Austria,Bosnia and Herzegovina,0,0,UEFA Nations League
11/15/2018,Hungary,Estonia,2,0,UEFA Nations League
11/15/2018,Greece,Finland,1,0,UEFA Nations League
11/15/2018,Andorra,Georgia,1,1,UEFA Nations League
11/15/2018,Kazakhstan,Latvia,1,1,UEFA Nations League
11/15/2018,Luxembourg,Belarus,0,2,UEFA Nations League
11/15/2018,San Marino,Moldova,0,1,UEFA Nations League
11/15/2018,England,United States,3,0,Friendly
11/15/2018,Germany,Russia,3,0,Friendly
11/15/2018,Iran,Trinidad and Tobago,1,0,Friendly
11/15/2018,Israel,Guatemala,7,0,Friendly
11/15/2018,Peru,Ecuador,0,2,Friendly
11/15/2018,Poland,Czech Republic,0,1,Friendly
11/15/2018,Republic of Ireland,Northern Ireland,0,0,Friendly
11/15/2018,Uzbekistan,Lebanon,0,0,Friendly
11/16/2018,Netherlands,France,2,0,UEFA Nations League
11/16/2018,Slovakia,Ukraine,4,1,UEFA Nations League
11/16/2018,Wales,Denmark,1,2,UEFA Nations League
11/16/2018,Slovenia,Norway,1,1,UEFA Nations League
11/16/2018,Cyprus,Bulgaria,1,1,UEFA Nations League
11/16/2018,Gibraltar,Armenia,2,6,UEFA Nations League
11/16/2018,Liechtenstein,North Macedonia,0,2,UEFA Nations League
11/16/2018,Argentina,Mexico,2,0,Friendly
11/16/2018,Brazil,Uruguay,1,0,Friendly
11/16/2018,Chile,Costa Rica,2,3,Friendly
11/16/2018,Honduras,Panama,1,0,Friendly
11/16/2018,Japan,Venezuela,1,1,Kirin Challenge Cup
11/16/2018,Oman,Syria,1,1,Friendly
11/16/2018,Palestine,Pakistan,2,1,Friendly
11/16/2018,Saudi Arabia,Yemen,1,0,Friendly
11/16/2018,United Arab Emirates,Bolivia,0,0,Friendly
11/16/2018,Laos,Myanmar,1,3,AFF Championship
11/16/2018,Vietnam,Malaysia,2,0,AFF Championship
11/16/2018,Morocco,Cameroon,2,0,African Cup of Nations qualification
11/16/2018,South Sudan,Burundi,2,5,African Cup of Nations qualification
11/16/2018,Egypt,Tunisia,3,2,African Cup of Nations qualification
11/16/2018,Taiwan,North Korea,0,2,EAFF Championship
11/16/2018,Mongolia,Hong Kong,1,5,EAFF Championship
11/16/2018,Bermuda,El Salvador,1,0,CONCACAF Nations League qualification
11/16/2018,Aruba,Montserrat,0,2,CONCACAF Nations League qualification
11/16/2018,Belize,Puerto Rico,1,0,CONCACAF Nations League qualification
11/17/2018,Italy,Portugal,0,0,UEFA Nations League
11/17/2018,Turkey,Sweden,0,1,UEFA Nations League
11/17/2018,Albania,Scotland,0,4,UEFA Nations League
11/17/2018,Serbia,Montenegro,2,1,UEFA Nations League
11/17/2018,Romania,Lithuania,3,0,UEFA Nations League
11/17/2018,Malta,Kosovo,0,5,UEFA Nations League
11/17/2018,Azerbaijan,Faroe Islands,2,0,UEFA Nations League
11/17/2018,Australia,South Korea,1,1,Friendly
11/17/2018,Jordan,India,2,1,Friendly
11/17/2018,Vanuatu,New Caledonia,2,2,Friendly
11/17/2018,Thailand,Indonesia,4,2,AFF Championship
11/17/2018,Timor-Leste,Philippines,2,3,AFF Championship
11/17/2018,Equatorial Guinea,Senegal,0,1,African Cup of Nations qualification
11/17/2018,Gambia,Benin,3,1,African Cup of Nations qualification
11/17/2018,Seychelles,Libya,1,8,African Cup of Nations qualification
11/17/2018,Namibia,Guinea-Bissau,0,0,African Cup of Nations qualification
11/17/2018,Uganda,Cape Verde,1,0,African Cup of Nations qualification
11/17/2018,Cuba,Dominican Republic,1,0,CONCACAF Nations League qualification
11/17/2018,Jamaica,Suriname,2,1,CONCACAF Nations League qualification
11/17/2018,Cayman Islands,Saint Lucia,0,0,CONCACAF Nations League qualification
11/17/2018,Nicaragua,Haiti,0,2,CONCACAF Nations League qualification
11/18/2018,Switzerland,Belgium,5,2,UEFA Nations League
11/18/2018,England,Croatia,2,1,UEFA Nations League
11/18/2018,Northern Ireland,Austria,1,2,UEFA Nations League
11/18/2018,Greece,Estonia,0,1,UEFA Nations League
11/18/2018,Hungary,Finland,2,0,UEFA Nations League
11/18/2018,San Marino,Belarus,0,2,UEFA Nations League
11/18/2018,Moldova,Luxembourg,1,1,UEFA Nations League
11/18/2018,Spain,Bosnia and Herzegovina,1,0,Friendly
11/18/2018,Ethiopia,Ghana,0,2,African Cup of Nations qualification
11/18/2018,Congo,DR Congo,1,1,African Cup of Nations qualification
11/18/2018,Guinea,Ivory Coast,1,1,African Cup of Nations qualification
11/18/2018,Angola,Burkina Faso,2,1,African Cup of Nations qualification
11/18/2018,Barbados,United States Virgin Islands,3,0,CONCACAF Nations League qualification
11/18/2018,Saint Kitts and Nevis,Canada,0,1,CONCACAF Nations League qualification
11/19/2018,Germany,Netherlands,2,2,UEFA Nations League
11/19/2018,Czech Republic,Slovakia,1,0,UEFA Nations League
11/19/2018,Denmark,Republic of Ireland,0,0,UEFA Nations League
11/19/2018,Bulgaria,Slovenia,1,1,UEFA Nations League
11/19/2018,Cyprus,Norway,0,2,UEFA Nations League
11/19/2018,Andorra,Latvia,0,0,UEFA Nations League
11/19/2018,Georgia,Kazakhstan,2,1,UEFA Nations League
11/19/2018,North Macedonia,Gibraltar,4,0,UEFA Nations League
11/19/2018,Liechtenstein,Armenia,2,2,UEFA Nations League
11/19/2018,Iceland,Qatar,2,2,Friendly
11/19/2018,Oman,Bahrain,2,1,Friendly
11/20/2018,Portugal,Poland,1,1,UEFA Nations League
11/20/2018,Sweden,Russia,2,0,UEFA Nations League
11/20/2018,Scotland,Israel,3,2,UEFA Nations League
11/20/2018,Montenegro,Romania,0,1,UEFA Nations League
11/20/2018,Serbia,Lithuania,4,1,UEFA Nations League
11/20/2018,Kosovo,Azerbaijan,4,0,UEFA Nations League
11/20/2018,Malta,Faroe Islands,1,1,UEFA Nations League
11/20/2018,Albania,Wales,1,0,Friendly
11/20/2018,Argentina,Mexico,2,0,Friendly
11/20/2018,Australia,Lebanon,3,0,Friendly
11/20/2018,Brazil,Cameroon,1,0,Friendly
11/20/2018,Chile,Honduras,4,1,Friendly
11/20/2018,China PR,Palestine,1,1,Friendly
11/20/2018,El Salvador,Haiti,1,0,Friendly
11/20/2018,France,Uruguay,1,0,Friendly
11/20/2018,Iran,Venezuela,1,1,Friendly
11/20/2018,Iraq,Bolivia,0,0,Friendly
11/20/2018,Italy,United States,1,0,Friendly
11/20/2018,Japan,Kyrgyzstan,4,0,Kirin Challenge Cup
11/20/2018,Jordan,Saudi Arabia,1,1,Friendly
